state,id,data_analysis,data_science,machine_learning
Alabama,1,0,1,0
Arkansas,5,5,2,0
California,6,0,0,14
Colorado,8,0,2,2
Illinois,17,0,8,2
Indiana,18,0,3,0
Kansas,20,4,1,0
Massachusetts,25,0,0,3
Maryland,24,0,0,3
Michigan,26,0,0,1
Minnesota,27,0,3,0
Missouri,29,2,0,0
Nebraska,31,2,0,0
New York,36,0,0,4
Oklahoma,40,5,1,0
Tennessee,47,0,0,1
Texas,48,1,8,6
Washington,53,0,0,2
Wisconsin,55,0,2,0
Alaska,2,0,0,0
Arizona,4,0,0,0
Connecticut,9,0,0,0
Delaware,10,0,0,0
District of Columbia,11,0,0,0
Florida,12,0,0,0
Georgia,13,0,0,0
Hawaii,15,0,0,0
Idaho,16,0,0,0
Iowa,19,0,0,0
Kentucky,21,0,0,0
Louisiana,22,0,0,0
Maine,23,0,0,0
Mississippi,28,0,0,0
Montana,30,0,0,0
Nevada,32,0,0,0
New Hampshire,33,0,0,0
New Jersey,34,0,0,0
New Mexico,35,0,0,0
North Carolina,37,0,0,0
North Dakota,38,0,0,0
Ohio,39,0,0,0
Oregon,41,0,0,0
Pennsylvania,42,0,0,0
Rhode Island,44,0,0,0
South Carolina,45,0,0,0
South Dakota,46,0,0,0
Utah,49,0,0,0
Vermont,50,0,0,0
Virginia,51,0,0,0
West Virginia,54,0,0,0
Wyoming,56,0,0,0
Puerto Rico,72,0,0,0
